med_condition_id,med_condition_name
1,Cardiopulmonary diseases
2,Cardiovascular and respiratory diseases
3,Cardiovascular diseases
4,Cerebrovascular disease
5,Climate-related health outcomes
6,Cold-related morbidity and mortality
7,Mortality
8,Multiple conditions
9,Respiratory disease
