air_pollutant_id,air_pollutant
1,Aeroallergens
2,Air pollution
3,Air Quality Health Index
4,Air quality measures
5,Airborne particles
6,Biological and chemical air pollutants
7,Black carbon
8,Carbon monoxide
9,Dust
10,Environmental factors
11,Gaseous pollutants
12,nil
13,Nitrogen dioxide
14,Ozone
15,Particulate matter
16,PM1
17,PM10
18,PM2.5
19,Pollen
20,Smoke
21,Sulfur dioxide
22,Wildfire
